0,loadSet,144,156
1,getManualAdditionsFileName,159,161
2,additionalTags,171,198
3,guessCompoundTag,201,330
4,tagBothCases,332,346
5,capitalize,348,350
6,cityAvenueMatch,352,363
7,tagMatch,365,491
8,isMinMax,493,496
9,tryAnimInanim,498,560
10,getNumAgreedPosTag,563,573
11,getAgreedPosTag,576,598
12,isSameAnimStatus,600,603
13,isPlural,605,607
14,oAdjMatch,609,628
15,oToYj,630,634
16,getNvPrefixNounMatch,636,647
17,poAdvMatch,650,660
18,debugCompounds,664,683
19,debug_compound_unknown_write,685,696
20,getAnalyzedTokens,698,729
21,debug_compound_tagged_write,731,736
22,debug_tagged_write,738,778
