0,version,62,65
1,messageTypeName,81,95
2,onMessageComplete,102,105
3,write,122,126
4,handleRunMessage,129,136
5,handlePullAllMessage,139,144
6,handleDiscardAllMessage,147,152
7,handleAckFailureMessage,155,159
8,handleRecordMessage,162,173
9,handleSuccessMessage,176,182
10,handleFailureMessage,185,198
11,handleIgnoredMessage,201,205
12,handleInitializeMessage,208,213
13,flush,216,219
14,packRawMap,221,232
15,packValue,234,400
16,hasNext,413,416
17,read,422,477
18,unpackAckFailureMessage,479,483
19,unpackSuccessMessage,485,490
20,unpackFailureMessage,492,506
21,unpackIgnoredMessage,508,512
22,unpackRecordMessage,514,524
23,unpackRunMessage,526,532
24,unpackDiscardAllMessage,534,538
25,unpackPullAllMessage,540,544
26,unpackInitializeMessage,546,550
27,unpackRawMap,552,566
28,unpackValue,568,682
29,unpackProperties,684,703
