25,Description,68,68
26,Firmware,72,72
27,OwnerName,76,76
28,ImageName,80,80
29,ImageFileName,84,84
30,ReleaseMethod,88,88
31,ReleaseTiming,92,92
32,RecordID,96,96
33,SelfTimingTime,100,100
34,CameraSerialNumber,104,104
35,ImageSerialNumber,108,108
36,ContinuousDrive,112,112
37,FocusMode,116,116
38,MeteringMode,120,120
39,ShootingMode,124,124
40,LensModel,128,128
41,LensMaxMM,132,132
42,LensMinMM,136,136
43,WhiteBalanceIndex,140,140
44,FlashExposureComp,144,144
45,MeasuredEV,148,148
46,values,150,153
47,lazyGlobalValue,154,154
