0,toObject,45,51,0
1,toNative,53,58,0
2,getDictionary,76,78,0
3,getTypeIdentifierHint,84,90,0
4,setTypeIdentifierHint,94,97,0
5,shouldCache,101,107,0
6,setShouldCache,111,114,0
7,shouldCacheImmediately,118,124,0
8,setShouldCacheImmediately,128,131,0
9,shouldAllowFloat,135,141,0
10,setShouldAllowFloat,145,148,0
11,shouldCreateThumbnailFromImageIfAbsent,152,158,0
12,setShouldCreateThumbnailFromImageIfAbsent,162,165,0
13,shouldCreateThumbnailFromImageAlways,169,175,0
14,setShouldCreateThumbnailFromImageAlways,179,182,0
15,getThumbnailMaxPixelSize,186,192,0
16,setThumbnailMaxPixelSize,196,199,0
17,shouldCreateThumbnailWithTransform,203,209,0
18,setShouldCreateThumbnailWithTransform,213,216,0
19,TypeIdentifierHintKey,222,263,1
20,ShouldCacheKey,227,263,1
21,ShouldCacheImmediatelyKey,232,263,1
22,ShouldAllowFloatKey,237,263,1
23,CreateThumbnailFromImageIfAbsentKey,242,263,1
24,CreateThumbnailFromImageAlwaysKey,247,263,1
25,ThumbnailMaxPixelSizeKey,252,263,1
26,CreateThumbnailWithTransformKey,257,263,0
27,toString,260,263,0
28,data,63,63,0
