0,getTagName,104,106
1,getAttributeName,108,110
2,loadValue,112,116
3,commit,117,120
4,commit,149,152
5,commit,160,163
6,commit,171,174
7,enableRenderers1,190,193
8,enableRenderers2,195,198
9,paint,201,214
10,paintMainArea,216,231
11,setVisibleTasks,233,235
12,setExplicitlyHiddenTasks,237,239
13,findTaskWithCoordinates,241,251
14,getChartItemWithCoordinates,253,260
15,findTaskProgressItem,262,295
16,findTaskBoundaryItem,297,325
17,getBoundingRectangle,327,345
18,getTaskActivityRectangles,347,358
19,getVisibleTasks,360,362
20,setTaskContainment,369,372
21,getTaskContainment,374,376
22,setTuningOptions,378,383
23,setRowHeight,385,424
24,isOnlyUp,426,428
25,isOnlyDown,430,432
26,isSelected,434,436
27,getTaskManager,438,440
28,getRowHeight,442,444
29,getChartOptionGroups,446,456
30,setPreviousStateTasks,459,467
31,isPrevious,469,471
32,createCopy,473,485
33,isExplicitlyHidden,487,489
34,calculateRowHeight,491,493
35,getRowCount,495,497
36,getDependencyHardnessOption,499,501
