0,onChange,61,64
1,log,65,71
2,getStartRange,75,104
3,getEndRange,80,104
4,getDst,85,104
5,getSrc,90,104
6,refresh,95,104
7,isWeak,97,104
8,getStartRange,119,121
9,getEndRange,124,126
10,refresh,129,155
11,isWeak,158,160
12,getDst,163,165
13,getSrc,168,170
14,hashCode,173,175
15,equals,178,184
16,toString,187,189
17,getStartRange,210,212
18,getEndRange,215,217
19,getDst,220,222
20,getSrc,225,227
21,refresh,230,234
22,hashCode,237,239
23,equals,242,248
24,isWeak,251,253
25,toString,256,258
26,getStartRange,278,280
27,getEndRange,283,285
28,getDst,288,290
29,getSrc,293,295
30,refresh,298,300
31,hashCode,303,305
32,equals,308,314
33,isWeak,317,319
34,toString,322,324
35,addOutgoing,337,339
36,addIncoming,341,343
37,promoteLayer,345,357
38,demoteLayer,359,372
39,getLevel,374,376
40,getOutgoing,378,380
41,getIncoming,382,384
42,removeOutgoing,386,388
43,removeIncoming,390,392
44,getTask,394,396
45,toString,399,401
46,compare,406,408
47,compare,411,413
48,log,427,429
49,addTask,444,451
50,removeTask,457,469
51,getNode,471,473
52,addDependency,482,497
53,addInheritedDependencies,499,513
54,addEdge,515,548
55,compare,520,522
56,buildLoop,550,559
57,removeDependency,566,586
58,findExplicitDependency,588,597
59,removeEdge,599,611
60,move,621,647
61,removeImplicitDependencies,649,674
62,checkLayerValidity,676,683
63,getLayer,685,687
64,addListener,689,691
65,fireGraphChanged,693,697
66,clear,699,702
