0,createStylesheetOption,70,88
1,commit,77,85
2,getFileExtensions,90,104
3,setSelectedStylesheet,91,104
4,getStylesheets,92,104
5,getStylesheetOptionID,93,104
6,getCustomOptionsUI,106,108
7,getCommandLineKeys,110,112
8,run,114,214
9,beginTask,120,122
10,done,124,126
11,internalWorked,128,130
12,isCanceled,132,134
13,setCanceled,136,142
14,setTaskName,144,146
15,subTask,148,150
16,worked,152,154
17,run,158,209
18,run,193,197
19,createJobs,216,220
20,getCustomColumnStorage,218,220
21,getOptions,222,224
22,startElement,226,229
23,startPrefixedElement,231,235
24,endElement,237,239
25,endPrefixedElement,241,243
26,addAttribute,245,251
27,emptyElement,253,258
28,textElement,260,269
29,getTransformerFactory,271,273
30,createHandler,275,287
31,addAttribute,289,291
32,i18n,293,296
33,writeColumns,298,315
34,writeViews,316,328
35,writeTasks,331,444
36,serializeTask,349,436
37,getAssignedResourcesDelimiter,446,448
38,writeResources,450,485
39,getHexaColor,487,504
