0,getFileTypeDescription,52,54
1,setSelectedStylesheet,57,59
2,getSecondaryOptions,61,63
3,getFileNamePattern,65,67
4,createJobs,70,76
5,createGenerateGanttChartJob,78,101
6,run,81,98
7,createGenerateResourceChartJob,103,125
8,run,106,122
9,createGeneratePagesJob,127,178
10,run,131,175
11,createCopyImagesJob,180,216
12,run,183,213
13,serialize,218,279
14,getAssignedResourcesDelimiter,282,284
15,proposeFileExtension,286,288
16,getFileExtensions,291,294
17,getStylesheetOptionID,297,299
18,getStylesheets,302,310
19,newStylesheet,305,307
20,getInputVersion,317,319
21,createTitlePageHandler,321,332
22,createTasksPageHandler,334,345
23,createGanttChartPageHandler,347,358
24,createResourcesPageHandler,360,371
25,getImagesDirectory,373,384
26,replaceExtension,387,393
27,appendSuffixBeforeExtension,395,397
28,getFilenameWithoutExtension,399,401
