0,getFileTypeDescription,64,66
1,getSecondaryOptions,68,70
2,getFileNamePattern,72,74
3,proposeFileExtension,76,78
4,getFileExtensions,81,83
5,createJobs,86,94
6,createGenerateGanttChartJob,96,114
7,run,99,111
8,createGenerateResourcechartJob,116,135
9,run,119,132
10,createFOPInitializationJob,137,154
11,run,140,151
12,createTransformationJob,156,188
13,run,159,185
14,exportProject,190,235
15,getAssignedResourcesDelimiter,238,240
16,writeCharts,242,255
17,createOptions,257,284
18,createConfiguration,286,308
19,writeTriplets,310,326
20,setSelectedStylesheet,339,341
21,getStylesheetOptionID,344,346
22,getStylesheets,349,358
23,newStylesheet,352,355
