0,addEmptyRow,194,197,0
1,constructGeneralPanel,200,365,0
2,actionPerformed,216,218,0
3,actionPerformed,225,229,0
4,focusLost,238,240,0
5,focusGained,243,244,0
6,actionPerformed,255,264,0
7,actionPerformed,269,271,0
8,actionPerformed,305,316,0
9,actionPerformed,309,312,0
10,actionPerformed,326,329,0
11,actionPerformed,346,353,0
12,addActionListener,368,372,0
13,changeNameOfTask,375,380,0
14,constructCustomColumnPanel,382,385,0
15,constructPredecessorsPanel,388,392,0
16,constructResourcesPanel,395,398,0
17,constructNotesPanel,401,413,0
18,init,416,461,0
19,stateChanged,422,425,0
20,focusGained,452,458,0
21,getReturnTask,465,526,0
22,setSelectedTask,528,565,0
23,enableMilestoneUnfriendlyControls,567,570,1
24,isMilestone,572,577,0
25,isProjectTask,579,581,0
26,getThirdDateConstraint,583,585,0
27,getLength,587,595,0
28,fireDurationChanged,597,605,1
29,changeLength,607,617,1
30,getNotes,619,621,0
31,getTaskName,623,626,0
32,getWebLink,628,631,0
33,getPercentComplete,633,635,0
34,getPriority,637,639,0
35,getStart,641,643,0
36,getThird,645,647,0
37,setStart,649,662,0
38,setEnd,664,676,0
39,setThird,678,681,0
40,adjustLength,683,689,1
41,setInitialValues,691,703,0
42,canBeProjectTask,705,721,0
43,isProjectTaskOrContainsProjectTask,723,733,0
44,constructCheckBox,741,767,0
45,actionPerformed,758,760,0
46,colorChooser,83,83,0
47,myStartDatePicker,85,85,1
48,myEndDatePicker,86,86,1
49,myThirdDatePicker,87,87,0
50,selectedTasks,89,89,0
51,language,91,91,0
52,myStart,93,93,1
53,myEnd,95,95,1
54,myThird,97,97,0
55,tabbedPane,99,99,0
56,generalPanel,102,102,0
57,predecessorsPanel,104,104,0
58,resourcesPanel,106,106,0
59,notesPanel,108,108,0
60,nameField1,110,110,0
61,durationField1,112,112,1
62,tfWebLink,114,114,0
63,bWebLink,116,116,0
64,percentCompleteSlider,118,118,0
65,priorityComboBox,120,120,0
66,thirdDateComboBox,122,122,0
67,mileStoneCheckBox1,124,124,0
68,projectTaskCheckBox1,126,126,0
69,isColorChanged,128,128,0
70,colorButton,130,130,0
71,defaultColorButton,132,132,0
72,shapeComboBox,135,135,0
73,scrollPaneNotes,137,137,0
74,noteAreaNotes,139,139,0
75,secondRowPanelNotes,141,141,0
76,taskWebLink,143,143,0
77,taskIsMilestone,145,145,0
78,taskStartDate,147,147,0
79,taskThirdDate,149,149,0
80,taskThirdDateConstraint,151,151,0
81,taskIsProjectTask,153,153,0
82,taskLength,155,155,0
83,taskNotes,157,157,0
84,taskCompletionPercentage,159,159,0
85,taskPriority,161,161,0
86,taskShape,163,163,0
87,myCustomColumnPanel,165,165,0
88,myDependenciesPanel,167,167,0
89,myAllocationsPanel,169,169,0
90,myHumanResourceManager,171,171,0
91,myRoleManager,173,173,0
92,myUnpluggedClone,175,175,0
93,myTaskManager,176,176,0
94,myProject,177,177,0
95,myUIfacade,178,178,0
96,mutator,180,180,0
97,isFirstFocusGain,449,449,0
