125,rootNode,123,123
126,treeModel,126,126
127,myUIFacade,128,128
128,treetable,131,131
129,area,134,134
130,appli,137,137
131,myLinkTasksAction,139,139
132,myUnlinkTasksAction,141,141
133,language,144,144
134,nbTasks,147,147
135,dragPath,149,149
136,ghostImage,151,151
137,offsetPoint,153,153
138,myTaskManager,155,155
139,mySelectionManager,156,156
140,myIndentAction,158,170
141,myDedentAction,172,185
142,myMoveUpAction,187,199
143,myMoveDownAction,201,213
144,myNewTaskAction,215,227
145,myDeleteAction,229,229
146,isOnTaskSelectionEventProcessing,231,231
147,lastPath,1074,1074
148,cueLineRect,1076,1076
149,ghostImageRect,1078,1078
150,cueLineColor,1080,1080
151,lastEventPoint,1082,1082
152,hoverTimer,1084,1084
153,TREEPATH_FLAVOR,1319,1320
154,_path,1322,1322
155,_flavors,1324,1324
156,cpNodesArrayList,1352,1352
157,allNodes,1354,1354
158,cpDependencies,1356,1356
159,mapOriginalIDCopyID,1361,1361
160,where,1406,1406
161,myTaskPropertiesAction,1408,1408
