0,saveProject,91,98
1,saveProjectTryWrite,100,126
2,actionPerformed,108,110
3,actionPerformed,115,117
4,saveProjectTryLock,128,130
5,saveProjectTrySave,132,141
6,formatWriteStatusMessage,143,148
7,afterSaveProject,150,163
8,saveProject,165,168
9,saveProjectAs,171,217
10,ensureProjectSaved,227,248
11,openProject,251,270
12,openProject,273,370
13,run,314,321
14,run,352,359
15,run,364,366
16,processTasks,372,386
17,run,379,383
18,adjustTasks,388,406
19,tryPatchMilestones,408,445
20,actionPerformed,436,443
21,beforeClose,447,450
22,createProject,453,461
23,showNewProjectWizard,463,466
24,getOptionGroups,469,471
25,getUndoManager,473,475
26,getDocumentManager,477,479
