0,saveProject,92,99,0
1,saveProjectTryWrite,101,127,0
2,actionPerformed,109,111,0
3,actionPerformed,116,118,0
4,saveProjectTryLock,129,131,0
5,saveProjectTrySave,133,142,0
6,formatWriteStatusMessage,144,149,0
7,afterSaveProject,151,164,0
8,saveProject,166,169,0
9,saveProjectAs,172,218,0
10,ensureProjectSaved,228,249,0
11,openProject,252,271,0
12,openProject,274,361,0
13,info,281,283,0
14,run,317,324,0
15,run,339,350,0
16,run,355,357,0
17,processTasks,363,377,0
18,run,370,374,0
19,adjustTasks,379,397,1
20,tryPatchMilestones,399,436,1
21,actionPerformed,427,434,1
22,beforeClose,438,441,0
23,createProject,444,452,0
24,showNewProjectWizard,454,457,0
25,getOptionGroups,460,462,0
26,getUndoManager,464,466,0
27,getDocumentManager,468,470,0
28,myWorkbenchFacade,74,74,0
29,i18n,75,75,0
30,myDocumentManager,76,76,0
31,myUndoManager,77,77,0
32,myConvertMilestonesOption,82,83,0
33,myConverterGroup,84,84,0
34,myMessages,279,279,0
