36,myGraphics,55,55
37,myStyle2painter,57,57
38,myTextLengthCalculator,59,59
39,myConfig,61,61
40,margin,63,63
41,myXPoints,66,66
42,myYPoints,69,69
43,myProperties,71,71
44,defaultStroke,74,74
45,dependencyRubber,76,77
46,myCalendarHolidayPainter,164,171
47,myTaskRectanglePainter,207,207
48,myTaskStartRectanglePainter,208,219
49,myTaskEndRectanglePainter,221,232
50,myTaskStartEndRectanglePainter,234,241
51,myTaskHolidayRectanglePainter,243,269
52,myAlphaValue,244,244
53,myAlphaComposite,245,245
54,myTaskSupertaskRectanglePainter,271,289
55,mySupertaskStartPainter,291,304
56,mySupertaskEndPainter,306,320
57,myTaskProjectTaskRectanglePainter,322,336
58,myProjectTaskStartPainter,338,351
59,myProjectTaskEndPainter,353,367
60,myMilestonePainter,369,395
61,myArrowDownPainter,397,409
62,myArrowUpPainter,411,423
63,myArrowLeftPainter,425,438
64,myArrowRightPainter,440,452
65,myDayOffPainter,454,467
66,myResourceLoadPainter,469,508
67,myPreviousStateTaskRectanglePainter,510,560
68,myXPoints,511,511
69,myYPoints,512,512
70,myColor,563,563
