0,getVisibleTasks,64,66
1,render,69,87
2,renderDependencies,89,91
3,renderTasksAboveAndBelowViewport,93,112
4,renderVisibleTasks,114,127
5,renderBaseline,129,178
6,renderActivities,180,189
7,renderLabels,191,205
8,renderProgressBar,207,245
9,collectTasksAboveAndBelowViewport,247,267
10,createDependencyLines,269,272
11,drawDependencies,274,360
12,signum,362,367
13,prepareDependencyDrawData,369,378
14,prepareDependencyDrawData,380,431
15,getRowHeight,433,435
16,toString,455,459
17,getPoint,469,471
18,reaches,473,478
19,getPoint,475,478
20,reaches,484,486
21,getPoint,489,491
22,toString,494,496
23,reaches,505,507
24,getPoint,510,512
25,toString,515,517
26,getOptionGroups,520,522
27,calculateRowHeight,524,526
28,getRectangleHeight,528,530
