0,reset,181,183
1,callStartDTD,190,198
2,callEndDTD,201,206
3,callTextDecl,215,223
4,doctypeDecl,233,250
5,startReadingFromExternalSubset,259,269
6,stopReadingFromExternalSubset,276,281
7,addElementDecl,290,312
8,addElementDecl,323,358
9,putElementNameMapping,360,365
10,getElementDeclIndex,379,382
11,setElementDeclDTD,384,386
12,setElementDeclIsExternal,397,402
13,getElementDeclIsExternal,405,412
14,getAttributeDeclIsExternal,414,421
15,getRootElementQName,423,429
16,addAttDef,443,517
17,addUniqueLeafNode,526,539
18,addContentSpecNode,549,562
19,addContentSpecNode,573,588
20,getContentSpecNodeAsString,597,599
21,startEntityDecl,608,621
22,endEntityDecl,627,632
23,addInternalPEDecl,642,656
24,addExternalPEDecl,667,684
25,addInternalEntityDecl,694,708
26,addExternalEntityDecl,719,736
27,addUnparsedEntityDecl,748,766
28,startEnumeration,773,787
29,addNameToEnumeration,798,817
30,endEnumeration,825,833
31,addNotationDecl,844,860
32,callComment,868,869
33,callProcessingInstruction,877,886
34,internalSubset,894,895
35,isDTD,897,899
36,ensureElementDeclCapacity,908,919
37,ensureAttributeDeclCapacity,922,933
38,ensureContentSpecCapacity,936,944
39,resize,949,953
