0,getNodeType,204,216
1,getNodeName,209,216
2,getNodeValue,214,216
3,setNodeValue,222,229
4,appendChild,251,254
5,cloneNode,279,311
6,getOwnerDocument,318,320
7,setOwnerDocument,326,331
8,getParentNode,339,341
9,getNextSibling,344,346
10,getPreviousSibling,349,351
11,getAttributes,360,362
12,hasChildNodes,371,373
13,getChildNodes,388,390
14,getFirstChild,397,399
15,getLastChild,406,408
16,insertBefore,441,445
17,removeChild,462,466
18,replaceChild,492,496
19,getLength,510,512
20,item,524,526
21,normalize,550,553
22,supports,570,573
23,getNamespaceURI,592,595
24,getPrefix,611,614
25,setPrefix,637,642
26,getLocalName,656,659
27,addEventListener,722,742
28,removeEventListener,754,782
29,finalize,793,806
30,dispatchEvent,857,1011
31,dispatchEventToSubtree,1025,1045
32,getEnclosingAttr,1063,1088
33,dispatchAggregateEvents,1096,1103
34,dispatchAggregateEvents,1125,1180
35,setReadOnly,1205,1213
36,getReadOnly,1219,1227
37,setUserData,1237,1239
38,getUserData,1242,1244
39,synchronizeData,1254,1254
40,changed,1257,1263
41,toString,1270,1272
42,writeObject,1279,1288
