0,reset,189,195
1,getSchemaDocument,199,201
2,getContentSpecHandleForElementType,205,207
3,getContentSpecTypeForElementType,208,210
4,loadSchema,225,283
5,ignorableWhitespace,244,244
6,ignorableWhitespace,245,245
7,traverseSchema,285,1681
8,cleanupForwardReferences,366,372
9,cleanupForwardReferencesTo,374,390
10,traverseComment,392,394
11,traverseTypeDecl,396,568
12,traverseGroup,570,664
13,traverseGroupRef,666,670
14,traverseDatatypeDecl,672,729
15,traverseElementDecl,731,849
16,traverseElementRef,851,864
17,traverseAttributeDecl,867,966
18,traverseAttrGroup,968,1037
19,traverseAttrGroupRef,1039,1043
20,addUse,1045,1047
21,addUse,1049,1053
22,buildAllModel,1056,1080
23,buildAllModel,1083,1125
24,createSeq,1128,1142
25,shift,1145,1153
26,sort,1156,1172
27,swap,1175,1181
28,expandContentModel,1282,1445
29,isSimpleOccurrenceCount,1447,1452
30,getOccurrenceCount,1454,1489
31,reportSchemaError,1491,1502
32,resolveEntity,1521,1537
33,warning,1544,1548
34,error,1551,1555
35,fatalError,1558,1563
36,getLocationString,1570,1587
37,initializeRegistry,1600,1636
38,getValidatorFor,1638,1640
39,addValidator,1642,1644
40,normalize,1651,1671
41,createDatatypeAttributeValidator,1676,1678
42,createDatatypeContentModel,1679,1681
