0,reset,156,162
1,addAttr,164,169
2,addAttr,182,217
3,startAttrList,224,227
4,endAttrList,232,280
5,getAttrPrefix,285,291
6,getAttrLocalpart,296,302
7,getAttrName,311,317
8,setAttrURI,320,326
9,getAttrURI,329,335
10,getAttValue,343,349
11,setAttValue,354,360
12,setAttType,363,369
13,getAttType,377,383
14,isSpecified,392,398
15,releaseAttrList,405,429
16,getFirstAttr,438,445
17,getNextAttr,454,467
18,getAttributeList,476,493
19,getLength,505,507
20,getPrefix,512,519
21,getLocalpart,524,531
22,getName,549,555
23,getURI,558,564
24,getType,587,596
25,getValue,611,617
26,getType,633,652
27,getValue,668,683
28,ensureCapacity,690,726
