0,reset,345,396
1,reset,398,408
2,getRecognizedFeatures,414,416
3,setFeature,433,435
4,getRecognizedProperties,442,444
5,setProperty,461,463
6,setDTDHandler,474,476
7,setDTDContentModelHandler,487,489
8,startExternalSubset,503,510
9,endExternalSubset,520,526
10,checkStandaloneEntityRef,539,551
11,comment,561,570
12,processingInstruction,590,599
13,startDTD,619,641
14,ignoredCharacters,652,660
15,textDecl,676,684
16,startParameterEntity,701,716
17,endParameterEntity,728,736
18,elementDecl,748,771
19,startAttlist,783,793
20,attributeDecl,820,1009
21,endAttlist,1019,1028
22,internalEntityDecl,1046,1071
23,externalEntityDecl,1087,1111
24,unparsedEntityDecl,1125,1141
25,notationDecl,1154,1164
26,startConditional,1179,1191
27,endConditional,1201,1213
28,endDTD,1223,1272
29,startContentModel,1289,1304
30,any,1317,1323
31,empty,1336,1342
32,startGroup,1358,1368
33,pcdata,1382,1389
34,element,1400,1422
35,separator,1437,1447
36,occurrence,1464,1474
37,endGroup,1484,1493
38,endContentModel,1503,1512
39,normalizeDefaultAttrValue,1525,1562
40,init,1565,1597
