0,getGrammarBucket,449,451
1,reset,471,542
2,getRecognizedFeatures,549,551
3,setFeature,568,570
4,getRecognizedProperties,577,579
5,setProperty,596,598
6,setDocumentHandler,609,611
7,startDocument,631,647
8,xmlDecl,662,673
9,doctypeDecl,687,718
10,startPrefixMapping,730,738
11,startElement,749,760
12,emptyElement,771,782
13,characters,793,842
14,ignorableWhitespace,859,866
15,endElement,876,880
16,endPrefixMapping,891,898
17,startCDATA,906,917
18,endCDATA,925,933
19,endDocument,941,948
20,comment,958,965
21,processingInstruction,985,992
22,startGeneralEntity,1011,1023
23,endGeneralEntity,1037,1042
24,textDecl,1058,1064
25,addDTDDefaultAttrsAndValidate,1071,1280
26,getExternalEntityRefInAttrValue,1283,1304
27,validateDTDattribute,1309,1433
28,invalidStandaloneAttDef,1436,1450
29,normalizeAttrValue,1459,1545
30,rootElementSpecified,1548,1559
31,checkContent,1594,1665
32,getContentSpecType,1668,1677
33,charDataInContent,1680,1700
34,getAttributeTypeName,1703,1736
35,init,1739,1778
36,ensureStackCapacity,1781,1805
37,handleStartElement,1812,1923
38,handleEndElement,1926,2010
