0,setOutputFormat,223,225
1,startElement,233,385
2,endElement,388,398
3,endElementIO,401,438
4,startElement,446,537
5,endElement,540,544
6,startDocument,565,647
7,serializeElement,655,1581
8,printNamespaceAttr,1149,1166
9,printAttribute,1177,1196
10,getEntityRef,1198,1214
11,extractNamespaces,1220,1254
12,setNamespaces,1267,1273
13,initDOMFeatures,1278,1288
14,checkAllFeatures,1290,1295
15,setFeature,1311,1321
16,canSetFeature,1334,1347
17,getFeature,1360,1366
18,getEncoding,1378,1380
19,setEncoding,1392,1395
20,getLastEncoding,1402,1404
21,getNewLine,1428,1430
22,setNewLine,1454,1456
23,getErrorHandler,1465,1467
24,setErrorHandler,1476,1478
25,writeNode,1499,1524
26,writeToString,1542,1564
27,reset,1566,1580
