0,getDocument,245,247
1,getFeaturesRecognized,260,282
2,getPropertiesRecognized,293,315
3,reset,320,328
4,resetOrCopy,331,334
5,init,346,383
6,setDeferNodeExpansion,394,397
7,getDeferNodeExpansion,405,408
8,setCreateEntityReferenceNodes,425,428
9,getCreateEntityReferenceNodes,436,439
10,setIncludeIgnorableWhitespace,460,463
11,getIncludeIgnorableWhitespace,471,474
12,setDocumentClassName,493,3259
13,getDocumentClassName,527,530
14,getCurrentElementNode,539,548
15,setFeature,568,663
16,getFeature,677,765
17,setProperty,782,822
18,getProperty,838,887
19,startDocument,894,959
20,endDocument,962,972
21,xmlDecl,975,992
22,textDecl,997,1029
23,startNamespaceDeclScope,1032,1032
24,endNamespaceDeclScope,1035,1035
25,startElement,1040,1194
26,endElement,1197,1212
27,characters,1215,1259
28,ignorableWhitespace,1262,1315
29,processingInstruction,1318,1335
30,comment,1338,1357
31,characters,1363,1365
32,ignorableWhitespace,1368,1368
33,startCDATA,1375,1377
34,endCDATA,1380,1382
35,startEntityReference,1389,1434
36,endEntityReference,1437,1531
37,startDTD,1541,1604
38,internalSubset,1610,1624
39,endDTD,1630,1643
40,elementDecl,1648,1922
41,attlistDecl,1927,2286
42,internalPEDecl,2291,2322
43,externalPEDecl,2327,2383
44,internalEntityDecl,2388,2445
45,externalEntityDecl,2450,2539
46,unparsedEntityDecl,2544,2640
47,notationDecl,2645,2732
48,getFirstChildElement,2739,2749
49,getFirstChildElement,2752,2765
50,getLastChildElement,2768,2777
51,getPrevSiblingElement,2780,2789
52,getLastChildElement,2792,2804
53,getPrevSiblingElement,2807,2819
54,getLastChildElement,2822,2843
55,getPrevSiblingElement,2846,2863
56,copyInto,2872,2965
57,setOccurrenceCount,2971,2987
58,createChildren,2990,3103
59,createChildren,3106,3258
