0,getFeaturesRecognized,188,210
1,getPropertiesRecognized,221,243
2,setDeclHandler,347,356
3,getDeclHandler,363,366
4,setLexicalHandler,381,390
5,getLexicalHandler,397,400
6,setDocumentHandler,407,409
7,setDTDHandler,430,432
8,getDTDHandler,441,443
9,setNamespacePrefixes,459,466
10,getNamespacePrefixes,474,477
11,setFeature,498,580
12,getFeature,596,668
13,setProperty,685,772
14,getProperty,788,854
15,setContentHandler,872,877
16,getContentHandler,886,888
17,startDTD,898,914
18,endDTD,919,926
19,elementDecl,940,971
20,attlistDecl,992,1061
21,internalPEDecl,1066,1083
22,externalPEDecl,1088,1106
23,internalEntityDecl,1111,1128
24,externalEntityDecl,1133,1151
25,unparsedEntityDecl,1156,1175
26,notationDecl,1180,1198
27,startDocument,1201,1217
28,endDocument,1220,1233
29,xmlDecl,1236,1255
30,textDecl,1258,1273
31,startNamespaceDeclScope,1278,1295
32,endNamespaceDeclScope,1300,1316
33,internalSubset,1319,1320
34,startElement,1323,1382
35,endElement,1385,1406
36,startEntityReference,1409,1445
37,endEntityReference,1448,1483
38,startCDATA,1486,1493
39,endCDATA,1496,1503
40,characters,1506,1508
41,ignorableWhitespace,1511,1513
42,processingInstruction,1516,1546
43,comment,1549,1566
44,characters,1569,1582
45,ignorableWhitespace,1585,1598
