0,getFeaturesRecognized,188,210,0
1,getPropertiesRecognized,221,243,0
2,setDeclHandler,347,356,0
3,getDeclHandler,363,366,0
4,setLexicalHandler,381,390,0
5,getLexicalHandler,397,400,0
6,setDocumentHandler,407,409,0
7,setDTDHandler,430,432,0
8,getDTDHandler,441,443,0
9,setNamespacePrefixes,459,466,0
10,getNamespacePrefixes,474,477,0
11,setFeature,498,580,0
12,getFeature,596,668,0
13,setProperty,685,772,0
14,getProperty,788,854,0
15,setContentHandler,872,877,0
16,getContentHandler,886,888,0
17,startDTD,898,914,0
18,endDTD,919,926,0
19,elementDecl,940,971,0
20,attlistDecl,992,1061,0
21,internalPEDecl,1066,1083,0
22,externalPEDecl,1088,1106,0
23,internalEntityDecl,1111,1128,0
24,externalEntityDecl,1133,1151,0
25,unparsedEntityDecl,1156,1175,0
26,notationDecl,1180,1198,0
27,startDocument,1201,1217,0
28,endDocument,1220,1233,0
29,xmlDecl,1236,1255,0
30,textDecl,1258,1273,0
31,startNamespaceDeclScope,1278,1295,0
32,endNamespaceDeclScope,1300,1316,0
33,internalSubset,1319,1320,0
34,startElement,1323,1382,0
35,endElement,1385,1406,0
36,startEntityReference,1409,1445,0
37,endEntityReference,1448,1483,0
38,startCDATA,1486,1493,0
39,endCDATA,1496,1503,0
40,characters,1506,1508,0
41,ignorableWhitespace,1511,1513,0
42,processingInstruction,1516,1546,0
43,comment,1549,1566,0
44,characters,1569,1582,0
45,ignorableWhitespace,1585,1598,0
46,RECOGNIZED_FEATURES,105,112,1
47,RECOGNIZED_PROPERTIES,115,121,1
48,DEBUG_CALLBACKS,126,126,0
49,fDocumentHandler,135,135,0
50,fDTDHandler,140,140,0
51,fContentHandler,145,145,0
52,fDeclHandler,148,148,0
53,fLexicalHandler,151,151,0
54,fNamespacePrefixes,153,153,0
55,fAttributes,157,157,1
