32,DEBUG_ADDITIONS,68,68
33,NULL_STRING,72,72
34,EMPTY_STRING,73,73
35,INITIAL_CHUNK_SHIFT,94,94
36,INITIAL_CHUNK_SIZE,95,95
37,CHUNK_SHIFT,96,96
38,CHUNK_SIZE,97,97
39,CHUNK_MASK,98,98
40,INITIAL_CHUNK_COUNT,99,99
41,fStringCount,106,106
42,fStringFreeList,107,107
43,fString,108,108
44,fStringProducer,109,109
45,fOffset,110,110
46,fLength,111,111
47,fCharsOffset,112,112
48,fStringListCount,116,116
49,fActiveStringList,117,117
50,fStringList,118,118
51,INITIAL_BUCKET_SIZE,122,122
52,HASHTABLE_SIZE,123,123
53,fSymbolTable,124,124
54,fSymbolCache,128,128
55,fShuffleCount,270,270
56,chars,514,514
57,offset,515,515
58,length,516,516
