0,toString,81,132
1,releaseString,85,132
2,equalsString,89,132
3,reset,140,163
4,ensureCapacity,167,213
5,addString,214,237
6,addString,238,262
7,getSymbolCache,266,268
8,resetShuffleCount,271,273
9,updateCacheLine,274,284
10,createNonMatchingSymbol,285,319
11,hashSymbol,320,345
12,addSymbol,346,399
13,addSymbol,400,445
14,lookupSymbol,446,464
15,addNewSymbol,465,493
16,addSymbol,494,509
17,createCharArrayRange,518,520
18,getCharArrayRange,521,533
19,equalNames,534,538
20,ensureListCapacity,542,555
21,startStringList,556,559
22,addStringToList,560,569
23,finishStringList,570,579
24,stringListLength,580,593
25,stringInList,594,607
26,stringListAsString,608,625
27,stringListAsIntArray,626,640
28,releaseStringInternal,644,654
29,releaseString,658,668
30,toString,672,692
31,orphanString,696,710
