89,DEBUG,132,132
90,NAMESPACES,136,137
91,VALIDATION,140,141
92,SCHEMA_VALIDATION,144,145
93,SCHEMA_FULL_CHECKING,148,149
94,DYNAMIC_VALIDATION,152,153
95,SYMBOL_TABLE,158,159
96,ERROR_REPORTER,162,163
97,ENTITY_RESOLVER,166,167
98,VALIDATION_MANAGER,169,170
99,ENTITY_MANAGER,173,174
100,RECOGNIZED_FEATURES,178,184
101,RECOGNIZED_PROPERTIES,187,192
102,fSeenRoot,197,197
103,fNamespaces,201,201
104,fValidation,204,204
105,fDynamicValidation,205,205
106,fDoValidation,206,206
107,fFullChecking,207,207
108,fSymbolTable,212,212
109,fErrorReporter,215,215
110,fEntityResolver,218,218
111,fValidationManager,221,221
112,fValidationState,222,222
113,fDocumentHandler,227,227
114,INITIAL_STACK_SIZE,698,698
115,INC_STACK_SIZE,699,699
116,XMLNS,702,702
117,URI_XSI,703,703
118,XSI_SCHEMALOCATION,704,704
119,XSI_NONAMESPACESCHEMALOCATION,705,705
120,XSI_TYPE,706,706
121,XSI_NIL,707,707
122,URI_SCHEMAFORSCHEMA,708,708
123,fGrammarResolver,715,715
124,fSubGroupHandler,716,716
125,fSchemaHandler,719,719
126,fNamespaceSupport,722,722
127,fPushForNextBinding,726,726
128,fQNameDV,730,730
129,fCMBuilder,734,734
130,fSkipValidationDepth,739,739
131,fElementDepth,742,742
132,fChildCount,745,745
133,fChildCountStack,748,748
134,fCurrentElemDecl,751,751
135,fElemDeclStack,754,754
136,fNil,757,757
137,fNilStack,760,760
138,fCurrentType,763,763
139,fTypeStack,766,766
140,fCurrentCM,769,769
141,fCMStack,772,772
142,fCurrCMState,775,775
143,fCMStateStack,778,778
144,fBuffer,781,781
145,fSawCharacters,784,784
146,fStringContent,787,787
147,fTempQName,790,790
148,fValidatedInfo,793,793
149,fState4XsiType,797,797
150,fState4ApplyDefault,801,801
151,fMatcherStack,819,819
152,fValueStoreCache,822,822
153,fMatchers,1974,1974
154,fMatchersCount,1977,1977
155,fContextStack,1980,1980
156,NOT_AN_IDVALUE,2064,2064
157,fIdentityConstraint,2071,2071
158,fValues,2074,2074
159,fValuesCount,2077,2077
160,fValueTuples,2080,2080
161,fKeyValueStore,2422,2422
162,fValueStores,2495,2495
163,fIdentityConstraint2ValueStoreMap,2498,2498
164,fGlobalMapStack,2518,2518
165,fGlobalIDConstraintMap,2519,2519
166,fSize,2711,2711
167,fEntries,2714,2714
168,key,2866,2866
169,value,2869,2869
