0,reset,304,308
1,pushContext,312,322
2,popContext,325,341
3,reportError,343,347
4,reportError,349,354
5,getRecognizedFeatures,401,403
6,setFeature,420,422
7,getRecognizedProperties,429,431
8,setProperty,448,450
9,setDocumentHandler,461,463
10,startDocument,483,492
11,xmlDecl,507,515
12,doctypeDecl,529,538
13,startPrefixMapping,550,561
14,startElement,572,581
15,emptyElement,592,623
16,characters,633,667
17,ignorableWhitespace,682,690
18,endElement,700,714
19,endPrefixMapping,725,735
20,startCDATA,744,753
21,endCDATA,762,770
22,endDocument,779,793
23,setBaseURI,799,801
24,characterData,803,899
25,elementDefault,901,903
26,startGeneralEntity,927,939
27,textDecl,958,965
28,comment,975,985
29,processingInstruction,1004,1015
30,endGeneralEntity,1029,1037
31,reset,1224,1421
32,startValueScopeFor,1434,1443
33,activateField,1451,1458
34,endValueScopeFor,1465,1471
35,activateSelectorFor,1474,1482
36,ensureStackCapacity,1489,1526
37,handleStartDocument,1529,1534
38,handleEndDocument,1536,1541
39,handleCharacters,1544,1636
40,normalizeWhitespace,1649,1690
41,normalizeWhitespace,1693,1734
42,handleIgnorableWhitespace,1738,1750
43,handleStartElement,1753,2070
44,handleEndElement,2078,2252
45,handleStartPrefix,2254,2263
46,resize,2270,2275
47,setLocation,2277,2282
48,getLocationArray,2284,2289
49,getFirstLocation,2291,2293
50,getLength,2295,2297
51,storeLocations,2301,2333
52,findSchemaGrammar,2339,2394
53,processJAXPSchemaSource,2401,2441
54,XSD2XMLInputSource,2443,2486
55,SAX2XMLInputSource,2491,2508
56,getAndCheckXsiType,2510,2559
57,getXsiNil,2561,2582
58,processAttributes,2584,2791
59,processOneAttribute,2793,2871
60,addDefaultAttributes,2873,2941
61,processElementContent,2948,3048
62,elementLocallyValidType,3050,3116
63,elementLocallyValidComplexType,3118,3187
64,reportSchemaError,3189,3194
65,clear,3232,3238
66,size,3241,3243
67,getMatcherCount,3246,3248
68,addMatcher,3251,3254
69,getMatcherAt,3257,3259
70,pushContext,3262,3264
71,popContext,3267,3269
72,ensureMatcherCapacity,3276,3282
73,destroy,3335,3339
74,append,3342,3348
75,startValueScope,3351,3357
76,endValueScope,3360,3411
77,endDocumentFragment,3418,3419
78,endDocument,3426,3427
79,reportNilError,3437,3442
80,addValue,3452,3484
81,contains,3490,3515
82,duplicateValue,3527,3530
83,toString,3533,3551
84,toString,3558,3569
85,duplicateValue,3599,3605
86,duplicateValue,3637,3643
87,endDocumentFragment,3678,3706
88,endDocument,3709,3712
89,startDocument,3772,3777
90,startElement,3781,3784
91,endElement,3788,3805
92,initValueStoresFor,3811,3859
93,getValueStoreFor,3862,3865
94,getValueStoreFor,3868,3870
95,getGlobalValueStoreFor,3873,3875
96,transplant,3880,3892
97,endDocument,3895,3903
98,toString,3910,3921
99,size,3959,3961
100,put,3964,3972
101,get,3975,3977
102,indexOf,3980,3999
103,keyAt,4002,4004
104,valueAt,4007,4009
105,clear,4012,4014
106,ensureCapacity,4021,4048
107,clone,4055,4063
108,toString,4070,4088
